customer_id,customer_created_date,age_group,canton,customer_type,preferred_contact_method,lead_source
C000001,2022-05-14,35-44,ZH,Private,WhatsApp,Paid Search
C000002,2022-02-11,35-44,GE,Private,Email,Direct
C000003,2021-01-20,55-64,TG,Private,Email,Dealer Referral
C000004,2021-09-25,45-54,VD,Private,Phone,Social Media
C000005,2024-02-08,45-54,BS,Private,WhatsApp,Paid Search
C000006,2025-03-02,35-44,GE,Business,Phone,Social Media
C000007,2024-09-17,25-34,VD,Private,Phone,Paid Search
C000008,2021-06-21,45-54,SZ,Private,Email,Social Media
C000009,2022-05-14,35-44,BE,Private,Email,Direct
C000010,2021-05-29,45-54,ZH,Business,SMS,Organic Search
C000011,2023-06-14,45-54,VS,Private,Email,Social Media
C000012,2022-03-03,18-24,BE,Private,Phone,Dealer Referral
C000013,2024-07-26,45-54,LU,Private,Email,Paid Search
C000014,2023-07-24,55-64,LU,Private,Email,Paid Search
C000015,2022-10-03,45-54,VS,Private,Email,Dealer Referral
C000016,2024-04-02,35-44,TI,Private,Email,Organic Search
C000017,2020-12-29,55-64,TI,Private,Email,Paid Search
C000018,2022-09-16,35-44,BE,Private,Email,Social Media
C000019,2021-12-27,35-44,LU,Fleet,Email,Direct
C000020,2020-11-08,25-34,SG,Private,SMS,Partner
C000021,2021-08-21,25-34,BE,Private,WhatsApp,Paid Search
C000022,2021-03-17,35-44,VD,Private,Phone,Partner
C000023,2021-06-28,35-44,ZH,Private,Email,Direct
C000024,2022-03-26,25-34,ZH,Private,WhatsApp,Social Media
C000025,2023-07-14,45-54,LU,Private,Phone,Dealer Referral
C000026,2022-01-24,25-34,VS,Private,Email,Organic Search
C000027,2021-04-09,45-54,VD,Private,SMS,Social Media
C000028,2021-05-13,25-34,VD,Private,Phone,Paid Search
C000029,2023-05-14,65+,ZH,Private,Email,Direct
C000030,2024-06-15,35-44,VS,Private,Email,Paid Search
C000031,2020-11-11,35-44,BE,Private,SMS,Organic Search
C000032,2022-10-16,35-44,ZH,Private,SMS,Partner
C000033,2021-11-20,35-44,TG,Private,Email,Organic Search
C000034,2024-06-17,45-54,AG,Private,Email,Direct
C000035,2021-02-22,25-34,JU,Private,SMS,Paid Search
C000036,2022-10-16,45-54,ZH,Private,Phone,Organic Search
C000037,2022-08-29,25-34,SO,Private,SMS,Dealer Referral
C000038,2021-01-30,45-54,VD,Private,WhatsApp,Direct
C000039,2023-03-24,18-24,ZH,Private,WhatsApp,Organic Search
C000040,2020-12-20,35-44,ZH,Business,Email,Partner
C000041,2024-03-17,25-34,BE,Private,Email,Organic Search
C000042,2024-08-17,55-64,NE,Private,WhatsApp,Paid Search
C000043,2023-03-25,18-24,BS,Business,SMS,  organic search 
C000044,2020-11-27,35-44,ZG,Private,SMS,Direct
