canton,dealer_region
ZH,Zurich
BE,Espace Mittelland
LU,Central Switzerland
UR,Central Switzerland
SZ,Central Switzerland
OW,Central Switzerland
NW,Central Switzerland
GL,Eastern Switzerland
ZG,Central Switzerland
FR,Espace Mittelland
SO,Espace Mittelland
BS,Northwestern Switzerland
BL,Northwestern Switzerland
SH,Eastern Switzerland
AR,Eastern Switzerland
AI,Eastern Switzerland
SG,Eastern Switzerland
GR,Eastern Switzerland
AG,Northwestern Switzerland
TG,Eastern Switzerland
TI,Ticino
VD,Lake Geneva
VS,Lake Geneva
NE,Espace Mittelland
GE,Lake Geneva
JU,Espace Mittelland
