brand,model,vehicle_type,base_new_price,weight
Volkswagen,Golf,Hatchback,36000,0.06976744186046513
Volkswagen,Tiguan,SUV,49000,0.05426356589147288
Volkswagen,Passat,Estate,47000,0.023255813953488375
BMW,3 Series,Sedan,59000,0.03875968992248063
BMW,X3,SUV,72000,0.034883720930232565
BMW,1 Series,Hatchback,45000,0.019379844961240313
Mercedes-Benz,C-Class,Sedan,63000,0.034883720930232565
Mercedes-Benz,GLC,SUV,76000,0.031007751937984503
Mercedes-Benz,A-Class,Hatchback,46000,0.019379844961240313
Audi,A3,Hatchback,47000,0.031007751937984503
Audi,A4,Estate,59000,0.02713178294573644
Audi,Q5,SUV,71000,0.031007751937984503
Skoda,Octavia,Estate,39000,0.04651162790697675
Skoda,Kodiaq,SUV,48000,0.02713178294573644
Toyota,Corolla,Hatchback,34000,0.034883720930232565
Toyota,RAV4,SUV,47000,0.031007751937984503
Tesla,Model 3,Sedan,49000,0.031007751937984503
Tesla,Model Y,SUV,55000,0.034883720930232565
Renault,Clio,Hatchback,25000,0.02713178294573644
Renault,Captur,SUV,31000,0.019379844961240313
Peugeot,208,Hatchback,27000,0.023255813953488375
Peugeot,3008,SUV,40000,0.019379844961240313
Ford,Focus,Hatchback,31000,0.023255813953488375
Ford,Kuga,SUV,42000,0.019379844961240313
Volvo,XC40,SUV,54000,0.019379844961240313
Volvo,XC60,SUV,69000,0.015503875968992251
Porsche,Macan,SUV,98000,0.00930232558139535
Porsche,911,Sports,155000,0.003875968992248063
Fiat,500,Hatchback,24000,0.019379844961240313
Hyundai,Tucson,SUV,42000,0.019379844961240313
Hyundai,i30,Hatchback,30000,0.015503875968992251
Kia,Sportage,SUV,41000,0.015503875968992251
Dacia,Duster,SUV,27000,0.013178294573643414
Opel,Astra,Hatchback,31000,0.015503875968992251
Mazda,CX-5,SUV,44000,0.013953488372093025
Land Rover,Range Rover Evoque,SUV,67000,0.007751937984496126
Nissan,Qashqai,SUV,39000,0.013953488372093025
Citroen,C3,Hatchback,25000,0.011627906976744188
SEAT,Leon,Hatchback,32000,0.015503875968992251
Cupra,Formentor,SUV,46000,0.015503875968992251
Iveco,Daily,Van,57000,0.007751937984496126
Volkswagen,Transporter,Van,55000,0.015503875968992251
